Date,Open,High,Low,Close,Volume,Market Cap
2023-12-25,192.50,193.25,191.75,192.75,24500000,2950000000000
2023-12-26,192.75,193.50,192.00,193.00,28900000,2955000000000
2023-12-27,193.00,194.00,192.50,193.75,32100000,2962000000000
2023-12-28,193.75,194.50,193.25,194.25,29800000,2970000000000
2023-12-29,194.25,195.00,193.75,194.75,33400000,2977000000000
2023-12-30,194.75,195.25,194.00,194.50,31200000,2973000000000
2023-12-31,194.50,195.00,193.75,194.25,28900000,2969000000000
2024-01-01,194.25,195.00,193.50,194.75,26700000,2977000000000
2024-01-02,194.75,195.50,194.00,195.25,30100000,2985000000000
2024-01-03,195.25,196.00,194.75,195.75,34500000,2992000000000
2024-01-04,195.75,196.50,195.25,196.25,37800000,3000000000000
2024-01-05,196.25,197.00,195.75,196.75,35600000,3007000000000
2024-01-06,196.75,197.25,196.00,196.50,33400000,3003000000000
2024-01-07,196.50,197.00,195.75,196.25,31200000,2999000000000
2024-01-08,196.25,196.75,195.50,196.00,29800000,2995000000000
2024-01-09,196.00,196.50,195.25,195.75,28900000,2991000000000
2024-01-10,195.75,196.25,195.00,195.50,27600000,2987000000000
2024-01-11,195.50,196.00,194.75,195.25,26700000,2983000000000
2024-01-12,195.25,195.75,194.50,195.00,25400000,2979000000000
2024-01-13,195.00,195.50,194.25,194.75,24500000,2975000000000
2024-01-14,194.75,195.25,194.00,194.50,23800000,2971000000000
2024-01-15,194.50,195.00,193.75,194.25,22900000,2967000000000
2024-01-16,194.25,194.75,193.50,194.00,22100000,2963000000000
2024-01-17,194.00,194.50,193.25,193.75,21500000,2959000000000
2024-01-18,193.75,194.25,193.00,193.50,20800000,2955000000000
2024-01-19,193.50,194.00,192.75,193.25,20100000,2951000000000
2024-01-20,193.25,193.75,192.50,193.00,19500000,2947000000000
2024-01-21,193.00,193.50,192.25,192.75,18900000,2943000000000
2024-01-22,192.75,193.25,192.00,192.50,18300000,2939000000000
2024-01-23,192.50,193.00,191.75,192.25,17700000,2935000000000
2024-01-24,192.25,192.75,191.50,192.00,17200000,2931000000000
2024-01-25,192.00,192.50,191.25,191.75,16700000,2927000000000
2024-01-26,191.75,192.25,191.00,191.50,16300000,2923000000000
2024-01-27,191.50,192.00,190.75,191.25,15900000,2919000000000
2024-01-28,191.25,191.75,190.50,191.00,15500000,2915000000000
2024-01-29,191.00,191.50,190.25,190.75,15100000,2911000000000
2024-01-30,190.75,191.25,190.00,190.50,14700000,2907000000000
2024-01-31,190.50,191.00,189.75,190.25,14300000,2903000000000
