Date,Open,High,Low,Close,Volume,Market Cap
2023-12-25,43700.00,43850.00,43500.00,43725.00,18500000000,853000000000
2023-12-26,43725.00,43900.00,43600.00,43875.00,19200000000,858000000000
2023-12-27,43875.00,44100.00,43750.00,44000.00,21100000000,862000000000
2023-12-28,44000.00,44250.00,43900.00,44150.00,19800000000,865000000000
2023-12-29,44150.00,44400.00,44000.00,44250.00,22300000000,867000000000
2023-12-30,44250.00,44500.00,44100.00,44375.00,21600000000,869000000000
2023-12-31,44375.00,44600.00,44200.00,44450.00,18900000000,871000000000
2024-01-01,44450.00,44700.00,44300.00,44550.00,20100000000,873000000000
2024-01-02,44550.00,44800.00,44400.00,44650.00,21500000000,875000000000
2024-01-03,44650.00,44900.00,44500.00,44750.00,22800000000,877000000000
2024-01-04,44750.00,45000.00,44600.00,44850.00,24200000000,879000000000
2024-01-05,44850.00,45100.00,44700.00,44950.00,21900000000,881000000000
2024-01-06,44950.00,45200.00,44800.00,45050.00,23100000000,883000000000
2024-01-07,45050.00,45300.00,44900.00,45150.00,22500000000,885000000000
2024-01-08,45150.00,45400.00,45000.00,45250.00,23800000000,887000000000
2024-01-09,45250.00,45500.00,45100.00,45350.00,24600000000,889000000000
2024-01-10,45350.00,45600.00,45200.00,45450.00,25900000000,891000000000
2024-01-11,45450.00,45700.00,45300.00,45550.00,26700000000,893000000000
2024-01-12,45550.00,45800.00,45400.00,45650.00,24100000000,895000000000
2024-01-13,45650.00,45900.00,45500.00,45750.00,25300000000,897000000000
2024-01-14,45750.00,46000.00,45600.00,45850.00,26100000000,899000000000
2024-01-15,45850.00,46100.00,45700.00,45950.00,26800000000,901000000000
2024-01-16,45950.00,46200.00,45800.00,46050.00,27500000000,903000000000
2024-01-17,46050.00,46300.00,45900.00,46150.00,28200000000,905000000000
2024-01-18,46150.00,46400.00,46000.00,46250.00,28900000000,907000000000
2024-01-19,46250.00,46500.00,46100.00,46350.00,29600000000,909000000000
2024-01-20,46350.00,46600.00,46200.00,46450.00,30300000000,911000000000
2024-01-21,46450.00,46700.00,46300.00,46550.00,28700000000,913000000000
2024-01-22,46550.00,46800.00,46400.00,46650.00,29400000000,915000000000
2024-01-23,46650.00,46900.00,46500.00,46750.00,30100000000,917000000000
2024-01-24,46750.00,47000.00,46600.00,46850.00,30800000000,919000000000
2024-01-25,46850.00,47100.00,46700.00,46950.00,31500000000,921000000000
2024-01-26,46950.00,47200.00,46800.00,47050.00,32200000000,923000000000
2024-01-27,47050.00,47300.00,46900.00,47150.00,32900000000,925000000000
2024-01-28,47150.00,47400.00,47000.00,47250.00,33600000000,927000000000
2024-01-29,47250.00,47500.00,47100.00,47350.00,34300000000,929000000000
2024-01-30,47350.00,47600.00,47200.00,47450.00,31700000000,931000000000
2024-01-31,47450.00,47700.00,47300.00,47550.00,32400000000,933000000000
