Date,Open,High,Low,Close,Volume,Market Cap
2023-12-25,2250.00,2270.00,2230.00,2255.00,8500000000,271000000000
2023-12-26,2255.00,2280.00,2240.00,2265.00,8800000000,273000000000
2023-12-27,2265.00,2290.00,2250.00,2275.00,9200000000,274000000000
2023-12-28,2275.00,2300.00,2260.00,2285.00,8900000000,275000000000
2023-12-29,2285.00,2310.00,2270.00,2295.00,9500000000,276000000000
2023-12-30,2295.00,2320.00,2280.00,2305.00,9100000000,277000000000
2023-12-31,2305.00,2330.00,2290.00,2315.00,8600000000,278000000000
2024-01-01,2315.00,2340.00,2300.00,2325.00,8900000000,279000000000
2024-01-02,2325.00,2350.00,2310.00,2335.00,9200000000,281000000000
2024-01-03,2335.00,2360.00,2320.00,2345.00,9500000000,282000000000
2024-01-04,2345.00,2370.00,2330.00,2355.00,9800000000,283000000000
2024-01-05,2355.00,2380.00,2340.00,2365.00,9200000000,284000000000
2024-01-06,2365.00,2390.00,2350.00,2375.00,9400000000,285000000000
2024-01-07,2375.00,2400.00,2360.00,2385.00,9100000000,287000000000
2024-01-08,2385.00,2410.00,2370.00,2395.00,9600000000,288000000000
2024-01-09,2395.00,2420.00,2380.00,2405.00,9900000000,289000000000
2024-01-10,2405.00,2430.00,2390.00,2415.00,10200000000,290000000000
2024-01-11,2415.00,2440.00,2400.00,2425.00,10500000000,291000000000
2024-01-12,2425.00,2450.00,2410.00,2435.00,9700000000,293000000000
2024-01-13,2435.00,2460.00,2420.00,2445.00,10000000000,294000000000
2024-01-14,2445.00,2470.00,2430.00,2455.00,10300000000,295000000000
2024-01-15,2455.00,2480.00,2440.00,2465.00,10600000000,296000000000
2024-01-16,2465.00,2490.00,2450.00,2475.00,10900000000,297000000000
2024-01-17,2475.00,2500.00,2460.00,2485.00,11200000000,299000000000
2024-01-18,2485.00,2510.00,2470.00,2495.00,11500000000,300000000000
2024-01-19,2495.00,2520.00,2480.00,2505.00,11800000000,301000000000
2024-01-20,2505.00,2530.00,2490.00,2515.00,12100000000,302000000000
2024-01-21,2515.00,2540.00,2500.00,2525.00,11200000000,303000000000
2024-01-22,2525.00,2550.00,2510.00,2535.00,11400000000,305000000000
2024-01-23,2535.00,2560.00,2520.00,2545.00,11700000000,306000000000
2024-01-24,2545.00,2570.00,2530.00,2555.00,12000000000,307000000000
2024-01-25,2555.00,2580.00,2540.00,2565.00,12300000000,308000000000
2024-01-26,2565.00,2590.00,2550.00,2575.00,12600000000,309000000000
2024-01-27,2575.00,2600.00,2560.00,2585.00,12900000000,311000000000
2024-01-28,2585.00,2610.00,2570.00,2595.00,13200000000,312000000000
2024-01-29,2595.00,2620.00,2580.00,2605.00,13500000000,313000000000
2024-01-30,2605.00,2630.00,2590.00,2615.00,12100000000,314000000000
2024-01-31,2615.00,2640.00,2600.00,2625.00,12400000000,315000000000
