Date,Open,High,Low,Close,Volume,Market Cap
2023-12-25,1.0850,1.0880,1.0820,1.0865,85000000,N/A
2023-12-26,1.0865,1.0895,1.0840,1.0875,92000000,N/A
2023-12-27,1.0875,1.0910,1.0855,1.0890,98000000,N/A
2023-12-28,1.0890,1.0920,1.0870,1.0905,89000000,N/A
2023-12-29,1.0905,1.0935,1.0885,1.0915,102000000,N/A
2023-12-30,1.0915,1.0940,1.0890,1.0920,91000000,N/A
2023-12-31,1.0920,1.0945,1.0895,1.0915,78000000,N/A
2024-01-01,1.0915,1.0940,1.0890,1.0925,72000000,N/A
2024-01-02,1.0925,1.0955,1.0905,1.0940,89000000,N/A
2024-01-03,1.0940,1.0970,1.0920,1.0955,95000000,N/A
2024-01-04,1.0955,1.0985,1.0935,1.0970,102000000,N/A
2024-01-05,1.0970,1.0995,1.0950,1.0980,92000000,N/A
2024-01-06,1.0980,1.1005,1.0960,1.0985,88000000,N/A
2024-01-07,1.0985,1.1010,1.0965,1.0990,84000000,N/A
2024-01-08,1.0990,1.1015,1.0970,1.0995,81000000,N/A
2024-01-09,1.0995,1.1020,1.0975,1.1000,79000000,N/A
2024-01-10,1.1000,1.1025,1.0980,1.1005,77000000,N/A
2024-01-11,1.1005,1.1030,1.0985,1.1010,75000000,N/A
2024-01-12,1.1010,1.1035,1.0990,1.1015,72000000,N/A
2024-01-13,1.1015,1.1040,1.0995,1.1020,70000000,N/A
2024-01-14,1.1020,1.1045,1.1000,1.1025,68000000,N/A
2024-01-15,1.1025,1.1050,1.1005,1.1030,66000000,N/A
2024-01-16,1.1030,1.1055,1.1010,1.1035,64000000,N/A
2024-01-17,1.1035,1.1060,1.1015,1.1040,62000000,N/A
2024-01-18,1.1040,1.1065,1.1020,1.1045,60000000,N/A
2024-01-19,1.1045,1.1070,1.1025,1.1050,58000000,N/A
2024-01-20,1.1050,1.1075,1.1030,1.1055,56000000,N/A
2024-01-21,1.1055,1.1080,1.1035,1.1060,54000000,N/A
2024-01-22,1.1060,1.1085,1.1040,1.1065,52000000,N/A
2024-01-23,1.1065,1.1090,1.1045,1.1070,50000000,N/A
2024-01-24,1.1070,1.1095,1.1050,1.1075,48000000,N/A
2024-01-25,1.1075,1.1100,1.1055,1.1080,46000000,N/A
2024-01-26,1.1080,1.1105,1.1060,1.1085,44000000,N/A
2024-01-27,1.1085,1.1110,1.1065,1.1090,42000000,N/A
2024-01-28,1.1090,1.1115,1.1070,1.1095,40000000,N/A
2024-01-29,1.1095,1.1120,1.1075,1.1100,38000000,N/A
2024-01-30,1.1100,1.1125,1.1080,1.1105,36000000,N/A
2024-01-31,1.1105,1.1130,1.1085,1.1110,34000000,N/A
