Date,Open,High,Low,Close,Volume,Market Cap
2023-10-06,172.50,173.25,171.75,172.75,52300000,2650000000000
2023-10-07,172.75,173.50,172.00,173.00,48900000,2655000000000
2023-10-08,173.00,174.00,172.50,173.75,62100000,2662000000000
2023-10-09,173.75,174.50,173.25,174.25,59800000,2670000000000
2023-10-10,174.25,175.00,173.75,174.75,63400000,2677000000000
2023-10-11,174.75,175.25,174.00,174.50,51200000,2673000000000
2023-10-12,174.50,175.00,173.75,174.25,48900000,2669000000000
2023-10-13,174.25,175.00,173.50,174.75,56700000,2677000000000
2023-10-14,174.75,175.50,174.00,175.25,60100000,2685000000000
2023-10-15,175.25,176.00,174.75,175.75,63400000,2692000000000
2023-10-16,175.75,176.50,175.25,176.25,67800000,2700000000000
2023-10-17,176.25,177.00,175.75,176.75,71200000,2707000000000
2023-10-18,176.75,177.50,176.25,177.25,74500000,2715000000000
2023-10-19,177.25,178.00,176.75,177.75,78900000,2722000000000
2023-10-20,177.75,178.50,177.25,178.25,82300000,2730000000000
2023-10-21,178.25,179.00,177.75,178.75,85600000,2737000000000
2023-10-22,178.75,179.50,178.25,179.25,89000000,2745000000000
2023-11-01,179.50,180.25,178.75,180.00,94500000,2760000000000
2023-11-02,180.00,181.00,179.50,180.75,97800000,2767000000000
2023-11-03,180.75,181.50,180.25,181.25,100100000,2775000000000
2023-11-04,181.25,182.00,180.75,181.75,102300000,2782000000000
2023-12-01,182.00,183.00,181.50,182.50,110000000,2797000000000
2023-12-02,182.50,183.25,182.00,182.75,108000000,2802000000000
2023-12-03,182.75,183.50,182.25,183.00,112000000,2807000000000
2024-01-01,183.25,184.00,182.75,183.50,95000000,2812000000000
2024-01-02,183.50,184.25,183.00,183.75,92000000,2817000000000
2024-01-03,183.75,184.50,183.25,184.00,98000000,2822000000000
2024-01-04,184.00,184.75,183.50,184.25,101000000,2827000000000
2024-01-05,184.25,185.00,183.75,184.50,104000000,2832000000000
2024-02-01,184.75,185.50,184.25,185.00,108000000,2837000000000
2024-02-02,185.00,185.75,184.50,185.25,111000000,2842000000000
2024-02-03,185.25,186.00,184.75,185.50,114000000,2847000000000
2024-03-01,185.75,186.50,185.25,186.00,118000000,2852000000000
2024-03-02,186.00,186.75,185.50,186.25,121000000,2857000000000
2024-03-03,186.25,187.00,185.75,186.50,124000000,2862000000000
2024-04-01,186.75,187.50,186.25,187.00,128000000,2867000000000
2024-04-02,187.00,187.75,186.50,187.25,131000000,2872000000000
2024-04-03,187.25,188.00,186.75,187.50,134000000,2877000000000
2024-05-01,187.75,188.50,187.25,188.00,138000000,2882000000000
2024-05-02,188.00,188.75,187.50,188.25,141000000,2887000000000
2024-05-03,188.25,189.00,187.75,188.50,144000000,2892000000000
2024-06-01,188.75,189.50,188.25,189.00,148000000,2897000000000
2024-06-02,189.00,189.75,188.50,189.25,151000000,2902000000000
2024-06-03,189.25,190.00,188.75,189.50,154000000,2907000000000
2024-07-01,189.75,190.50,189.25,190.00,158000000,2912000000000
2024-07-02,190.00,190.75,189.50,190.25,161000000,2917000000000
2024-07-03,190.25,191.00,189.75,190.50,164000000,2922000000000
2024-08-01,190.75,191.50,190.25,191.00,168000000,2927000000000
2024-08-02,191.00,191.75,190.50,191.25,171000000,2932000000000
2024-08-03,191.25,192.00,190.75,191.50,174000000,2937000000000
2024-09-01,191.75,192.50,191.25,192.00,178000000,2942000000000
2024-09-02,192.00,192.75,191.50,192.25,181000000,2947000000000
2024-09-03,192.25,193.00,191.75,192.50,184000000,2952000000000
2024-10-01,192.75,193.50,192.25,193.00,188000000,2957000000000
2024-10-02,193.00,193.75,192.50,193.25,191000000,2962000000000
2024-10-03,193.25,194.00,192.75,193.50,194000000,2967000000000
2024-10-04,193.50,194.25,193.00,193.75,197000000,2972000000000
2024-10-05,193.75,194.50,193.25,194.00,200000000,2977000000000
2024-10-06,194.00,194.75,193.50,194.25,203000000,2982000000000
2024-10-07,194.25,195.00,193.75,194.50,206000000,2987000000000
2024-10-08,194.50,195.25,194.00,194.75,209000000,2992000000000
2024-10-09,194.75,195.50,194.25,195.00,212000000,2997000000000
2024-10-10,195.00,195.75,194.50,195.25,215000000,3002000000000
2024-10-11,195.25,196.00,194.75,195.50,218000000,3007000000000
2024-10-12,195.50,196.25,195.00,195.75,221000000,3012000000000
2024-10-13,195.75,196.50,195.25,196.00,224000000,3017000000000
2024-10-14,196.00,196.75,195.50,196.25,227000000,3022000000000
2024-10-15,196.25,197.00,195.75,196.50,230000000,3027000000000
2024-10-16,196.50,197.25,196.00,196.75,233000000,3032000000000
2024-10-17,196.75,197.50,196.25,197.00,236000000,3037000000000
2024-10-18,197.00,197.75,196.50,197.25,239000000,3042000000000
2024-10-19,197.25,198.00,196.75,197.50,242000000,3047000000000
2024-10-20,197.50,198.25,197.00,197.75,245000000,3052000000000
2024-10-21,197.75,198.50,197.25,198.00,248000000,3057000000000
2024-10-22,198.00,198.75,197.50,198.25,251000000,3062000000000
2024-10-23,198.25,199.00,197.75,198.50,254000000,3067000000000
2024-10-24,198.50,199.25,198.00,198.75,257000000,3072000000000
2024-10-25,198.75,199.50,198.25,199.00,260000000,3077000000000
2024-10-26,199.00,199.75,198.50,199.25,263000000,3082000000000
2024-10-27,199.25,200.00,198.75,199.50,266000000,3087000000000
2024-10-28,199.50,200.25,199.00,199.75,269000000,3092000000000
2024-10-29,199.75,200.50,199.25,200.00,272000000,3097000000000
2024-10-30,200.00,200.75,199.50,200.25,275000000,3102000000000
2024-10-31,200.25,201.00,199.75,200.50,278000000,3107000000000
