Date,Open,High,Low,Close,Volume,Market Cap
2023-10-06,27950.00,28100.00,27700.00,27975.00,18500000000,545000000000
2023-10-07,27975.00,28250.00,27850.00,28100.00,19200000000,548000000000
2023-10-08,28100.00,28400.00,27900.00,28250.00,19800000000,551000000000
2023-10-09,28250.00,28500.00,28000.00,28375.00,20500000000,554000000000
2023-10-10,28375.00,28600.00,28150.00,28500.00,21200000000,557000000000
2023-10-11,28500.00,28750.00,28300.00,28625.00,21800000000,560000000000
2023-10-12,28625.00,28900.00,28450.00,28750.00,22500000000,563000000000
2023-10-13,28750.00,29000.00,28500.00,28875.00,23100000000,566000000000
2023-10-14,28875.00,29100.00,28650.00,29000.00,23800000000,569000000000
2023-10-15,29000.00,29250.00,28800.00,29125.00,24500000000,572000000000
2023-10-16,29125.00,29400.00,28950.00,29250.00,25200000000,575000000000
2023-10-17,29250.00,29500.00,29000.00,29375.00,25800000000,578000000000
2023-10-18,29375.00,29600.00,29150.00,29500.00,26500000000,581000000000
2023-10-19,29500.00,29750.00,29300.00,29625.00,27200000000,584000000000
2023-10-20,29625.00,29900.00,29450.00,29750.00,27900000000,587000000000
2023-10-21,29750.00,30000.00,29500.00,29875.00,28500000000,590000000000
2023-10-22,29875.00,30100.00,29650.00,30000.00,29200000000,593000000000
2023-11-01,30000.00,30200.00,29800.00,30100.00,30500000000,596000000000
2023-11-02,30100.00,30400.00,29900.00,30200.00,31200000000,599000000000
2023-11-03,30200.00,30500.00,30000.00,30300.00,31800000000,602000000000
2023-11-04,30300.00,30600.00,30100.00,30400.00,32500000000,605000000000
2023-12-01,30400.00,30700.00,30200.00,30500.00,33500000000,608000000000
2023-12-02,30500.00,30800.00,30300.00,30600.00,34200000000,611000000000
2023-12-03,30600.00,30900.00,30400.00,30700.00,34800000000,614000000000
2024-01-01,30700.00,31000.00,30500.00,30800.00,35500000000,617000000000
2024-01-02,30800.00,31100.00,30600.00,30900.00,36200000000,620000000000
2024-01-03,30900.00,31200.00,30700.00,31000.00,36800000000,623000000000
2024-01-04,31000.00,31300.00,30800.00,31100.00,37500000000,626000000000
2024-01-05,31100.00,31400.00,30900.00,31200.00,38200000000,629000000000
2024-02-01,31200.00,31500.00,31000.00,31300.00,39500000000,632000000000
2024-02-02,31300.00,31600.00,31100.00,31400.00,40200000000,635000000000
2024-02-03,31400.00,31700.00,31200.00,31500.00,40800000000,638000000000
