Date,Open,High,Low,Close,Volume,Market Cap
2023-10-06,1650.00,1670.00,1630.00,1660.00,8500000000,199000000000
2023-10-07,1660.00,1685.00,1645.00,1675.00,8750000000,201000000000
2023-10-08,1675.00,1700.00,1660.00,1690.00,9000000000,203000000000
2023-10-09,1690.00,1715.00,1675.00,1705.00,9250000000,205000000000
2023-10-10,1705.00,1730.00,1690.00,1720.00,9500000000,207000000000
2023-10-11,1720.00,1745.00,1705.00,1735.00,9750000000,209000000000
2023-10-12,1735.00,1760.00,1720.00,1750.00,10000000000,211000000000
2023-10-13,1750.00,1775.00,1735.00,1765.00,10250000000,213000000000
2023-10-14,1765.00,1790.00,1750.00,1780.00,10500000000,215000000000
2023-10-15,1780.00,1805.00,1765.00,1795.00,10750000000,217000000000
2023-10-16,1795.00,1820.00,1780.00,1810.00,11000000000,219000000000
2023-10-17,1810.00,1835.00,1795.00,1825.00,11250000000,221000000000
2023-10-18,1825.00,1850.00,1810.00,1840.00,11500000000,223000000000
2023-10-19,1840.00,1865.00,1825.00,1855.00,11750000000,225000000000
2023-10-20,1855.00,1880.00,1840.00,1870.00,12000000000,227000000000
2023-10-21,1870.00,1895.00,1855.00,1885.00,12250000000,229000000000
2023-10-22,1885.00,1910.00,1870.00,1900.00,12500000000,231000000000
2023-11-01,1900.00,1925.00,1885.00,1915.00,13000000000,233000000000
2023-11-02,1915.00,1940.00,1900.00,1930.00,13250000000,235000000000
2023-11-03,1930.00,1955.00,1915.00,1945.00,13500000000,237000000000
2023-11-04,1945.00,1970.00,1930.00,1960.00,13750000000,239000000000
2023-12-01,1960.00,1990.00,1945.00,1975.00,14250000000,241000000000
2023-12-02,1975.00,2005.00,1960.00,1990.00,14500000000,243000000000
2023-12-03,1990.00,2020.00,1975.00,2005.00,14750000000,245000000000
2024-01-01,2005.00,2035.00,1990.00,2020.00,15250000000,247000000000
2024-01-02,2020.00,2050.00,2005.00,2035.00,15500000000,249000000000
2024-01-03,2035.00,2065.00,2020.00,2050.00,15750000000,251000000000
2024-01-04,2050.00,2080.00,2035.00,2065.00,16000000000,253000000000
2024-01-05,2065.00,2095.00,2050.00,2080.00,16250000000,255000000000
2024-02-01,2080.00,2110.00,2065.00,2095.00,16750000000,257000000000
2024-02-02,2095.00,2125.00,2080.00,2110.00,17000000000,259000000000
2024-02-03,2110.00,2140.00,2095.00,2125.00,17250000000,261000000000
2024-03-01,2125.00,2180.00,2110.00,2160.00,18500000000,267000000000
2024-03-02,2160.00,2200.00,2145.00,2185.00,18750000000,269000000000
2024-03-03,2185.00,2225.00,2170.00,2210.00,19000000000,271000000000
2024-03-04,2210.00,2250.00,2195.00,2235.00,19250000000,273000000000
2024-03-05,2235.00,2275.00,2220.00,2260.00,19500000000,275000000000
2024-03-06,2260.00,2300.00,2245.00,2285.00,19750000000,277000000000
2024-03-07,2285.00,2325.00,2270.00,2310.00,20000000000,279000000000
2024-03-08,2310.00,2350.00,2295.00,2335.00,20250000000,281000000000
2024-03-09,2335.00,2375.00,2320.00,2360.00,20500000000,283000000000
2024-03-10,2360.00,2400.00,2345.00,2385.00,20750000000,285000000000
2024-03-11,2385.00,2425.00,2370.00,2410.00,21000000000,287000000000
2024-03-12,2410.00,2450.00,2395.00,2435.00,21250000000,289000000000
2024-03-13,2435.00,2475.00,2420.00,2460.00,21500000000,291000000000
2024-03-14,2460.00,2500.00,2445.00,2485.00,21750000000,293000000000
2024-03-15,2485.00,2525.00,2470.00,2510.00,22000000000,295000000000
2024-04-01,2510.00,2570.00,2495.00,2550.00,23500000000,301000000000
2024-04-02,2550.00,2605.00,2535.00,2590.00,23750000000,303000000000
2024-04-03,2590.00,2640.00,2575.00,2630.00,24000000000,305000000000
2024-05-01,2630.00,2700.00,2615.00,2680.00,25500000000,313000000000
2024-05-02,2680.00,2745.00,2665.00,2725.00,25750000000,315000000000
2024-05-03,2725.00,2790.00,2710.00,2770.00,26000000000,317000000000
2024-06-01,2770.00,2850.00,2755.00,2830.00,27500000000,327000000000
2024-06-02,2830.00,2905.00,2815.00,2885.00,27750000000,329000000000
2024-06-03,2885.00,2960.00,2870.00,2940.00,28000000000,331000000000
2024-07-01,2940.00,3020.00,2925.00,3000.00,29500000000,341000000000
2024-07-02,3000.00,3075.00,2985.00,3055.00,29750000000,343000000000
2024-07-03,3055.00,3130.00,3040.00,3110.00,30000000000,345000000000
2024-08-01,3110.00,3190.00,3095.00,3170.00,31500000000,355000000000
2024-08-02,3170.00,3245.00,3155.00,3225.00,31750000000,357000000000
2024-08-03,3225.00,3300.00,3210.00,3280.00,32000000000,359000000000
2024-09-01,3280.00,3360.00,3265.00,3340.00,33500000000,369000000000
2024-09-02,3340.00,3415.00,3325.00,3395.00,33750000000,371000000000
2024-09-03,3395.00,3470.00,3380.00,3450.00,34000000000,373000000000
2024-10-01,3450.00,3530.00,3435.00,3510.00,35500000000,383000000000
2024-10-02,3510.00,3585.00,3495.00,3565.00,35750000000,385000000000
2024-10-03,3565.00,3640.00,3550.00,3620.00,36000000000,387000000000
2024-10-04,3620.00,3695.00,3605.00,3675.00,36250000000,389000000000
2024-10-05,3675.00,3750.00,3660.00,3730.00,36500000000,391000000000
2024-10-06,3730.00,3805.00,3715.00,3785.00,36750000000,393000000000
2024-10-07,3785.00,3860.00,3770.00,3840.00,37000000000,395000000000
2024-10-08,3840.00,3915.00,3825.00,3895.00,37250000000,397000000000
2024-10-09,3895.00,3970.00,3880.00,3950.00,37500000000,399000000000
2024-10-10,3950.00,4025.00,3935.00,4005.00,37750000000,401000000000
2024-10-11,4005.00,4080.00,3990.00,4060.00,38000000000,403000000000
2024-10-12,4060.00,4135.00,4045.00,4115.00,38250000000,405000000000
2024-10-13,4115.00,4190.00,4100.00,4170.00,38500000000,407000000000
2024-10-14,4170.00,4245.00,4155.00,4225.00,38750000000,409000000000
2024-10-15,4225.00,4300.00,4210.00,4280.00,39000000000,411000000000
2024-10-16,4280.00,4355.00,4265.00,4335.00,39250000000,413000000000
2024-10-17,4335.00,4410.00,4320.00,4390.00,39500000000,415000000000
2024-10-18,4390.00,4465.00,4375.00,4445.00,39750000000,417000000000
2024-10-19,4445.00,4520.00,4430.00,4500.00,40000000000,419000000000
2024-10-20,4500.00,4575.00,4485.00,4555.00,40250000000,421000000000
2024-10-21,4555.00,4630.00,4540.00,4610.00,40500000000,423000000000
2024-10-22,4610.00,4685.00,4595.00,4665.00,40750000000,425000000000
2024-10-23,4665.00,4740.00,4650.00,4720.00,41000000000,427000000000
2024-10-24,4720.00,4795.00,4705.00,4775.00,41250000000,429000000000
2024-10-25,4775.00,4850.00,4760.00,4830.00,41500000000,431000000000
2024-10-26,4830.00,4905.00,4815.00,4885.00,41750000000,433000000000
2024-10-27,4885.00,4960.00,4870.00,4940.00,42000000000,435000000000
2024-10-28,4940.00,5015.00,4925.00,4995.00,42250000000,437000000000
2024-10-29,4995.00,5070.00,4980.00,5050.00,42500000000,439000000000
2024-10-30,5050.00,5125.00,5035.00,5105.00,42750000000,441000000000
2024-10-31,5105.00,5180.00,5090.00,5160.00,43000000000,443000000000
