Date,Open,High,Low,Close,Volume,Market Cap
2023-10-06,25.50,26.20,24.80,25.90,1200000000,2900000000
2023-10-07,25.90,26.60,25.30,26.20,1250000000,2950000000
2023-10-08,26.20,27.00,25.70,26.70,1300000000,3000000000
2023-10-09,26.70,27.40,26.20,27.00,1350000000,3050000000
2023-10-10,27.00,27.80,26.50,27.30,1400000000,3100000000
2023-10-11,27.30,28.10,26.80,27.70,1450000000,3150000000
2023-10-12,27.70,28.50,27.20,28.10,1500000000,3200000000
2023-10-13,28.10,28.90,27.60,28.50,1550000000,3250000000
2023-10-14,28.50,29.30,28.00,28.90,1600000000,3300000000
2023-10-15,28.90,29.70,28.40,29.30,1650000000,3350000000
2023-10-16,29.30,30.10,28.80,29.70,1700000000,3400000000
2023-10-17,29.70,30.50,29.20,30.10,1750000000,3450000000
2023-10-18,30.10,30.90,29.60,30.50,1800000000,3500000000
2023-10-19,30.50,31.30,30.00,30.90,1850000000,3550000000
2023-10-20,30.90,31.70,30.40,31.30,1900000000,3600000000
2023-10-21,31.30,32.10,30.80,31.70,1950000000,3650000000
2023-10-22,31.70,32.50,31.20,32.10,2000000000,3700000000
2023-11-01,32.10,32.90,31.60,32.50,2100000000,3750000000
2023-11-02,32.50,33.30,32.00,32.90,2150000000,3800000000
2023-11-03,32.90,33.70,32.40,33.30,2200000000,3850000000
2023-11-04,33.30,34.10,32.80,33.70,2250000000,3900000000
2023-12-01,33.70,34.60,33.20,34.20,2350000000,3950000000
2023-12-02,34.20,35.10,33.70,34.70,2400000000,4000000000
2023-12-03,34.70,35.60,34.20,35.20,2450000000,4050000000
2024-01-01,35.20,36.10,34.70,35.70,2550000000,4100000000
2024-01-02,35.70,36.60,35.20,36.20,2600000000,4150000000
2024-01-03,36.20,37.10,35.70,36.70,2650000000,4200000000
2024-01-04,36.70,37.60,36.20,37.20,2700000000,4250000000
2024-01-05,37.20,38.10,36.70,37.70,2750000000,4300000000
2024-02-01,37.70,38.70,37.20,38.20,2850000000,4350000000
2024-02-02,38.20,39.20,37.70,38.70,2900000000,4400000000
2024-02-03,38.70,39.70,38.20,39.20,2950000000,4450000000
2024-03-01,39.20,42.50,38.70,41.80,3500000000,4800000000
2024-03-02,41.80,43.20,40.90,42.70,3550000000,4850000000
2024-03-03,42.70,44.10,41.80,43.60,3600000000,4900000000
2024-03-04,43.60,45.00,42.70,44.50,3650000000,4950000000
